ID,Name,Machine name,X,Dev,QA,Description,Mod.,Layout,Trns.,Migr.,Meta,Sched.,Srch.,Type,URL alias pattern,Settings/notes
,News Categories,news_categories,d,,,Categories for stories.,n,n,,,n,n,n,Vocabulary,-,
,Story Types,story_types,a,,,Define the intent of story nodes.,n,n,,,n,n,n,Vocabulary,-,
,,,,,,,,,,,,,,,,
,Accordion Item,accordion_item,a,,,Adds WYSIWYG content inside accordions.,n,n,,,n,n,f,Paragraph type,-,"Only site admins can create, all can delete and edit."
,Accordions,accordions,a,,,Creates structure for accordion items.,n,n,,y,n,n,f,Paragraph type,-,"Only site admins can create, all can delete and edit."
,Additional Links,links_files,a,,,Creates a list of links and/or file document media references.,n,n,,,n,n,n,Paragraph type,-,
,Block Placer,block_placer,a,,,Displays blocks from the custom block library.,n,n,,,n,n,n,Paragraph type,-,
,Button,button,a,,,Add a button to a page.,n,n,,,n,n,n,Paragraph type,-,
,Contact Placer,contact_placer,a,,,Add contact information to a page.,n,n,,,n,n,n,Paragraph type,-,
,Content Carousel,content_carousel,a,,,Add carousel content to the page.,n,n,,,n,n,n,Paragraph type,-,
,Courses,courses,w,,,Add sample course to a program.,n,n,,,n,n,f,Paragraph type,-,
,Course,course,w,,,Add a course to a sample courses list.,n,n,,,n,n,f,Paragraph type,-,
,CTA Item,cta_item,a,,,Add a call to action.,n,n,,,n,n,n,Paragraph type,-,"Only site admins can create, all can delete and edit."
,CTAs,ctas,a,,,Add a group of CTAs.,n,n,,,n,n,n,Paragraph type,-,"Only site admins can create, all can delete and edit."
,Custom Embed,custom_embed,a,,,Add custom HTML/JS code to a page.,n,n,,y,n,n,n,Paragraph type,-,Only admins can add/edit.
,Events List,events_list,a,,,Add a list of LiveWhale events to the site.,n,n,,,n,n,n,Paragraph type,-,
,Facts List,facts_list,a,,,Add a list of facts to a page.,n,n,,,n,n,n,Paragraph type,-,
,Fauxfile Item,fauxfile_item,a,,,Add bio data to the fauxfile list.,n,n,,,n,n,n,Paragraph type,-,
,Fauxfile,fauxfile,a,,,Add a list of manually entered bio data.,n,n,,,n,n,n,Paragraph type,-,"Only site admins can create, all can delete and edit."
,Form Placer,form_placer,d,,,Display a webform on a page.,n,n,,,n,n,n,Paragraph type,-,"Only site admins can create and delete, all edit. "
,Gallery Item,gallery_item,a,,,Add photos to a gallery.,n,n,,,n,n,n,Paragraph type,-,
,Gallery,gallery,a,,,Create a lightbox or slide show photo gallery.,n,n,,y,n,n,n,Paragraph type,-,
,Hallmark,hallmark,a,,,Add hallmark content to pages.,n,n,,n,n,n,f,Paragraph type,-,
,Hero,hero,a,,,Add hero content to a page.,n,n,,n,n,n,f,Paragraph type,-,Only site admins can access. 
,Highlight Box,highlight_box,a,,,Highlight a piece of important content on a page.,n,n,,,n,n,n,Paragraph type,-,
,Horizontal Rule,horizontal_rule,d,,,Add a horizontal rule design element to break up blocks of content.,n,n,,,n,n,n,Paragraph type,-,No fields needed for this bundle
,Hours Placer,hours_placer,a,,,Add hours on a page.,n,n,,,n,n,n,Paragraph type,-,
,Hours Set,hours_set,a,,,Add a set hours to an hours library.,n,n,,,n,n,n,Paragraph type,-,
,Image,image,a,,,Creates a linkable image in various sizes.,n,n,,y,n,n,n,Paragraph type,-,
,Layout Section,layout_section,a,,,Add a customizable section of widgets to a page.,n,n,,,n,n,n,Paragraph type,-,"Only site admins can create, all can edit or remove."
,Limited Section,layout_section_single,d,,,Single column layout with no additional fields.,n,n,,,n,n,n,Paragraph type,-,
,Map,map,d,,,Add a google map of a single location.,n,n,,,n,n,n,Paragraph type,-,Use Adam's Google API Key until we get theirs
,Portal,portal,d,,,Add a portal link with limited information to another page or external URL.,n,n,,,n,n,n,Paragraph type,-,
,Portals,portals,d,,,Add a group of portals.,n,n,,,n,n,n,Paragraph type,-,
,Profiles List,profiles_list,a,,,"Add list of bios for a specific department, program or tag or create a list manually.",n,n,,y,n,n,n,Paragraph type,-,
,Programs List,programs_list,a,,,Add a list of programs to a page.,n,n,,,n,n,n,Paragraph type,-,Only site admins can add/edit. Use Twig to insert custom module created program search block.
,Program Search,program_search,a,,,Add a program search block to page content.,n,n,,,n,n,n,Paragraph type,-,Only site admins can add/edit. Use Twig to insert custom module created program search block.
,Quote,quote,a,,,Displays text with stylized quotation marks.,n,n,,,n,n,n,Paragraph type,-,Shown on story mockup
,Select Item,select_item,a,,,Add a stylized list of selectable option links.,n,n,,,n,n,n,Paragraph type,-,"Only site admins can create, all can delete and edit."
,Select Type,select_type,a,,,Add a select item to the select type widget.,n,n,,,n,n,n,Paragraph type,-,"Only site admins can create, all can delete and edit. Selects sized based on number used. Always fit to one line."
,Slate Form,slate_form,a,,,Add a slate form to a page.,n,n,,,n,n,n,Paragraph type,-,Likely can just be a checkbox on the program CT
,Snapshot List,snapshot_list,a,,,Add a list of snapshot items by tag or choose specific ones.,n,n,,,n,n,n,Paragraph type,-,
,Social Media Links,social_media_links,a,,,Add links to social media platforms.,n,n,,y,n,n,n,Paragraph type,-,
,Steps,steps,a,,,Add stylized stepped content.,n,n,,,n,n,f,Paragraph type,-,
,Step Item,step_item,a,,,Add a step to steps.,n,n,,,n,n,f,Paragraph type,-,Individual steps sized based on number used. Always fit on one row.
,Stories & Video List,stories_video_list,a,,,Add a video with a list of stories.,n,n,,,n,n,n,Paragraph type,-,
,Testimonial Placer,testimonial_placer,a,,,Add list of testimonials for tag or create a list manually.,n,n,,y,n,n,n,Paragraph type,-,Only site admins can use
,Text,text,x,,,Allows WYSIWYG text,n,n,,y,n,n,f,Paragraph type,-,
,Video,video,x,,,Display a responsive Youtube or Vimeo video from the web or media library.,n,n,,y,n,n,n,Paragraph type,-,
,Video Card List,video_card_list,d,,,Add a list of video cards to a page.,n,n,,,n,n,n,Paragraph type,-,
,View Placer,view_placer,a,,,Place main views around the site,n,n,,,n,n,n,Paragraph type,-,"Only site admins can use. The selected view will embed the 'main' display for the view (via twig). ""Main' denotes any embed display not used in placer/list paragraphs or the content carousel. If there are multiple displays for a view that need to be placed using this widget, we'll need to add a display field."
,Wayfinding,wayfinding,a,,,Add wayfinding navigational content.,n,n,,,n,n,n,Paragraph type,-,"Only site admins can create, all can delete and edit."
